"filename", "language", "XML", "Java", "Markdown", "comment", "blank", "total"
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\dao\UserProfileDao.java", "Java", 0, 192, 0, 20, 28, 240
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\Food.java", "Java", 0, 60, 0, 22, 23, 105
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\FoodEntry.java", "Java", 0, 44, 0, 5, 16, 65
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\FoodHistory.java", "Java", 0, 45, 0, 5, 17, 67
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\HealthGoalPlan.java", "Java", 0, 114, 0, 25, 19, 158
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\HealthGoalPlanImpl.java", "Java", 0, 96, 0, 23, 25, 144
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\PrintContent.java", "Java", 0, 513, 0, 24, 111, 648
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\User.java", "Java", 0, 45, 0, 7, 13, 65
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\domain\UserProfile.java", "Java", 0, 144, 0, 65, 33, 242
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\main\CalOMatic9000.java", "Java", 0, 27, 0, 8, 7, 42
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\main\afterLoginService.java", "Java", 0, 61, 0, 22, 12, 95
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\test\FoodDaoTest.java", "Java", 0, 10, 0, 8, 4, 22
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\test\UserDaoTest.java", "Java", 0, 11, 0, 16, 4, 31
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\test\UserProfileTest.java", "Java", 0, 6, 0, 10, 2, 18
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\test\mainTest.java", "Java", 0, 8, 0, 5, 4, 17
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\test\test.java", "Java", 0, 11, 0, 10, 5, 26
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\test\test1.java", "Java", 0, 22, 0, 14, 6, 42
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\utils\InputHandler.java", "Java", 0, 12, 0, 7, 4, 23
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\utils\PassowordHashingByBCrypt.java", "Java", 0, 10, 0, 7, 4, 21
